spotify_uri,artist,track_name,first_seen_utc,playlist_uri,context
spotify:track:4LLBKnNCrSRrSjSTuiwjE9,The Beatles,You Won't See Me - Remastered 2009,2026-03-06T00:14:32.181Z,,BasslineRequests
spotify:track:4MUrUT38U98olfnyzMBCzm,Bad Bunny,KLOuFRENS,2026-03-23T02:54:24.520Z,,BasslineRequests
spotify:track:4McQzaMrgt8AylDZHGQGVT,Mário Rui Silva,Lonjura,2026-01-12T06:36:46.041Z,,BasslineRequests
spotify:track:4MjDJD8cW7iVeWInc2Bdyj,Bad Bunny,MONACO,2026-02-11T03:37:23.189Z,,BasslineRequests
spotify:track:4MwJf59mb7MzHxhNIrKZto,"Oliver Smith, Amy J Pryce",Open Up,2026-03-22T19:52:48.004Z,,BasslineRequests
spotify:track:4N2yukzkAEVo5vRlVsaHZ7,Joel Ross,Wisdom Is Eternal (For Barry Harris),2025-12-31T15:04:44.998Z,,BasslineRequests
spotify:track:4O45RxFmWr88UfFlNtsXUy,Magdalena Bay,Image,2026-03-20T16:20:26.876Z,,BasslineRequests
spotify:track:4ONTmI3XeSiGID2EhDC4Tq,Jnathyn,Noir,2026-01-05T21:38:15.303Z,,BasslineRequests
spotify:track:4ORgqa0GOafXbApy6S8FpJ,Avenged Sevenfold,Chapter Four,2026-02-04T17:15:26.766Z,,BasslineRequests
spotify:track:4Oq241mV2LEcQsfXQPOfZe,Avenged Sevenfold,Crossroads,2026-02-04T17:15:26.766Z,,BasslineRequests
spotify:track:4OyfdJiHM6sbfkFmRLrygg,Avenged Sevenfold,Doing Time,2026-02-04T17:15:26.766Z,,BasslineRequests
spotify:track:4PEeZ2U4UfP2Jo8EtIOjus,? & The Mysterians,96 Tears,2026-03-06T00:14:13.327Z,,BasslineRequests
spotify:track:4PLmJLtdDlsjM3fwBEGfO2,Tor,Cymbol,2026-01-11T05:15:16.494Z,,BasslineRequests
spotify:track:4PWxt9Fy949kUtkEi2GI5V,Gojira,L'enfant sauvage,2026-01-27T00:50:11.666Z,,BasslineRequests
