spotify_id,artist,track_name,duration,date_added
1Qg4Da7hw0JlpjLMWwVDU8,Kiasmos,Burnt,9:21,2025-06-30
4U6UzxVnMtc41eBIalCDjQ,Polynation,Animus - Shorter,4:11,2025-06-30
7cbsuVHDGO1QWG15TUOOtp,deadmau5,XYZ,9:36,2025-06-28
7syNqxCLAQZzQlkRyJIfDr,REZZMAU5; deadmau5; Rezz,Infraliminal,4:27,2025-06-28
67cCbzkbHTIN9GVIy5L1Vb,Maddix,Heute Nacht,3:24,2025-06-13
1upQiytDIEZfl9ItruoXuC,George Frideric Handel,Sarabande,3:27,2025-06-03
6xpDh0dXrkVp0Po1qrHUd8,blink-182,Adam's Song,4:10,2025-05-20
3lpDrxUkr0tIe1kmJvdK7d,Rush,YYZ,4:26,2025-05-20
6NUTRMbLqF6EK7YFYMiGgn,Mikio Masuda,Let's Get Together,6:04,2025-05-17
2eAtxc1L97UPkxDf4LFtrK,Ripe,Pretty Dirty (In the Fading Light),5:43,2025-05-13
5qaRaOepyRo8PYVwMFH5yT,Grandaddy,A.M. 180,3:21,2025-05-06
2073QOEC8rBtSyTsRyaWiP,LCD Soundsystem,I Can Change,5:52,2025-05-06
2Ud3deeqLAG988pfW0Kwcl,LCD Soundsystem,All My Friends,7:42,2025-05-06
6wrgyLCuzjoCOy9uklc7M6,Felix Rösch,Becoming Ocean,3:04,2025-04-30
0UEqov6I69uqwBG6J2wMwC,Céline Dion,To Love You More,4:39,2025-04-29
0YJ9FWWHn9EfnN0lHwbzvV,Radiohead,Jigsaw Falling Into Place,4:09,2025-04-29
3QhASXiPt7X0Yb5spuVpGO,Polynation,Muriatic,3:58,2025-04-28
30EVjmgpTs7DmVzshrYlMa,Ochre,Tugrul,3:49,2025-04-25
1O2j6xoEmETsbTk9r8yyQO,Max Cooper,Order from Chaos,7:41,2025-04-23
2kBBVGjHZGoHhwemzbccmO,A Great Big Pile of Leaves,Snack Attack,3:19,2025-04-15
6LkwIps8gLQKC4qX99NMrj,Minus the Bear,Absinthe Party At The Fly Honey Warehouse,5:24,2025-04-15
2s1sdSqGcKxpPr5lCl7jAV,Sia,Chandelier,3:36,2025-04-15
2tY1gxCKslfXLFpFofYmJQ,Beastie Boys,Brass Monkey,2:37,2025-04-15
39QBkWKnap8wRSW4WB9OK0,Snoop Dogg,Gin and Juice,3:32,2025-04-15
7y5KNFzUITQC3ObeFkf9cj,Neighborhood Libraries,[Time] Place,7:07,2025-03-27
6byqq2f5Ed1qNQEW3Ht0ma,Jesse Welles,Whistle Boeing,3:38,2025-03-27
0YoYJw5URPqnGdOSnpeNnT,Jesse Welles,United Health,1:42,2025-03-26
3nnP9YLtQEpaXkN87q6bns,Jesse Welles; Mt. Joy,Have You Ever Seen The Rain,2:47,2025-03-26
5Y6u1FBAsYsfUAzBX7ym7k,Russian Circles; Chelsea Wolfe,Memorial,3:45,2025-03-16
6S0sAqCxsmLsqcaeegJWh5,Russian Circles,Vorel,5:29,2025-03-16
4KrATQEoEbKAAY7j0kMDBl,Dom Dolla,San Frandisco,3:05,2025-03-09
4JFI1qEAIDLwFt8O7HyjSL,Bloodywood; BABYMETAL,Bekhauf,3:48,2025-02-07
2HrfRTWUkCLCbqeMpTxo66,deprezz; Xizt,Sonne-Slowed+Mastered,2:28,2025-01-14
1SHB1hp6267UK9bJQUxYvO,Molchat Doma,"Судно (Борис Рыжий)",2:21,2025-01-14
5QIm5UVUJhPrpXwfFXAgKI,Balmorhea,Nos,1:22,2025-01-07
0qZ03ABKZsGbGhvh1zbbil,Spiritbox,Sun Killer,3:47,2025-01-06
2NA0yisSiX8E7g2yjozNqH,Jinjer,Teacher Teacher!,5:52,2025-01-04
6IdyYbGg1jxiWhfwm2Ykjn,Spiritbox,Jaded,4:23,2025-01-02
5Ll8FKX2KnoaL5x7tP0D3V,Thornhill,Obsession,3:18,2025-01-02
2dhtUKxtHCMjOfe4DL1yJI,Alon Mor,Calculating Revolution,2:03,2024-12-17
20IFx1mqMdM6DrkQnOuiew,Yeasayer,2080,5:23,2024-12-10
4gmivt1Q8UbnQZMVHLH43v,Yeasayer,Ambling Alp,3:55,2024-12-10
5IN6s1ESshNEs5cCKMGcfc,Yeasayer,O.N.E.,5:24,2024-12-10
7diOv6wm3ngF7Vt6ubK0Sf,Linkin Park,Overflow,3:31,2024-12-09
0GrHWVTDsaWcD4nrCGr7VE,System Of A Down,Lost In Hollywood,5:21,2024-12-04
2tJBG2m6K5jUKxzyTZm9Z7,Hania Rani; Dobrawa Czocher,Malasana,5:22,2024-12-02
2FQviMkaoixlgWuGL4u1EO,Aphex Twin,I,1:17,2024-12-02
0SDh7AAKlUSzzzXfuB1aVw,Rival Consoles,Memory Arc,2:13,2024-12-02
6AI3ezQ4o3HUoP6Dhudph3,Kendrick Lamar,Not Like Us,4:34,2024-11-25
5Dz4UA0onaAEMopZ0LTau0,St. Lucia,Pie In The Sky,4:00,2024-11-25
